"product","source","kind","count","note"
"Candy","C:\Users\wyndf\Documents\unity\Avaters\Temp\candy-v1.0.0.zip","zip","1","copied distribution zip"
"Candy","C:\Users\wyndf\Documents\unity\Avaters\Temp\candy-v1.0.0.zip","src","6","src extracted from distribution zip"
"Candy","C:\Users\wyndf\Documents\unity\Avaters\Temp\candy-v1.0.0.zip","booth","0","created empty booth directory; zip did not include booth assets"
"TreeDragon","C:\Users\wyndf\Documents\unity\Avaters\Temp\TreeDragon-v1.0.0.zip","zip","1","copied distribution zip"
"TreeDragon","C:\Users\wyndf\Documents\unity\Avaters\Temp\TreeDragon-v1.0.0.zip","src","5","src extracted from distribution zip"
"TreeDragon","C:\Users\wyndf\Documents\unity\Avaters\Temp\TreeDragon-v1.0.0.zip","booth","0","created empty booth directory; zip did not include booth assets"
"Catchy","C:\Users\wyndf\Desktop\backup\vrc-avaters@catchy-lp","src","7",""
"Catchy","C:\Users\wyndf\Desktop\backup\vrc-avaters@catchy-lp","booth","4",""
"Iris","C:\Users\wyndf\Desktop\backup\vrc-avaters@iris","src","44",""
"Iris","C:\Users\wyndf\Desktop\backup\vrc-avaters@iris","booth","6",""
"Nyantan","C:\Users\wyndf\Desktop\backup\vrc-avaters@jack-o-nyantan-2022","src","7","renamed from JackONyantan/Nyantan2022 to match BOOTH public name にゃんたん"
"Nyantan","C:\Users\wyndf\Desktop\backup\vrc-avaters@jack-o-nyantan-2022","booth","28","renamed from JackONyantan/Nyantan2022 to match BOOTH public name にゃんたん"
"Soni","C:\Users\wyndf\Documents\unity\Avaters\Products\Soni","src","10","added from Products after BOOTH published item 7582725 was confirmed"
"Soni","C:\Users\wyndf\Documents\unity\Avaters\Products\Soni","booth","2","added from Products after BOOTH published item 7582725 was confirmed"
"Krona","C:\Users\wyndf\Documents\unity\Avaters\Products\Krona","src","6","added from Products after BOOTH published item 7461411 was confirmed"
"Krona","C:\Users\wyndf\Documents\unity\Avaters\Products\Krona","booth","2","added from Products after BOOTH published item 7461411 was confirmed"
"Mocha","C:\Users\wyndf\Desktop\backup\vrc-avaters@mocha","src","6",""
"Mocha","C:\Users\wyndf\Desktop\backup\vrc-avaters@mocha","booth","11",""
"NozakiNeneko","C:\Users\wyndf\Desktop\backup\vrc-avaters@neneko","src","8",""
"NozakiNeneko","C:\Users\wyndf\Desktop\backup\vrc-avaters@neneko","booth","14",""
"RedDragon","C:\Users\wyndf\Desktop\backup\vrc-avaters@red-dragon-lp","src","4",""
"RedDragon","C:\Users\wyndf\Desktop\backup\vrc-avaters@red-dragon-lp","booth","4",""
"Reptan","C:\Users\wyndf\Desktop\backup\vrc-avaters@reptan","src","25",""
"Reptan","C:\Users\wyndf\Desktop\backup\vrc-avaters@reptan","booth","11",""
"Tora","C:\Users\wyndf\Desktop\backup\vrc-avaters@tora","src","9",""
"Tora","C:\Users\wyndf\Desktop\backup\vrc-avaters@tora","booth","20",""
"Shiromaru","C:\Users\wyndf\Desktop\backup\vrc-avaters@usa","src","5",""
"Shiromaru","C:\Users\wyndf\Desktop\backup\vrc-avaters@usa","booth","16",""
"WhipLowPoly","C:\Users\wyndf\Desktop\backup\vrc-avaters@whip-lp","src","4",""
"WhipLowPoly","C:\Users\wyndf\Desktop\backup\vrc-avaters@whip-lp","booth","4",""
"Windra","C:\Users\wyndf\Desktop\backup\vrc-avaters@windra-lp","src","3",""
"Windra","C:\Users\wyndf\Desktop\backup\vrc-avaters@windra-lp","booth","4",""
"Wip","C:\Users\wyndf\Desktop\backup\vrc-avaters@wip","src","44",""
"Wip","C:\Users\wyndf\Desktop\backup\vrc-avaters@wip","booth","6",""
