"Package","Source","SourceKind","Guid","Target"
"BettyDev","Assets/Mushus/BettyDev/Scenes/betty.unity",".unity","5bf5a7a5c3680d048a3393e27a5a52da","Assets/Mushus/Betty/256fes.fbx"
"CactusBunnyDev","Assets/Mushus/CactusBunnyDev/Scenes/SampleScene.unity",".unity","84e6786310f3af84e9f8af98bdc30d0c","Assets/Mushus/CactusBunny/Models/CactusBunny.fbx"
"CalopDev","Assets/Mushus/CalopDev/Scenes/SampleScene.unity",".unity","3045bc5c1a68f9e4aa436173dbeec5ad","Assets/Mushus/Calop/Calop.fbx"
"Candy","Assets/Mushus/Candy/Prefabs/Candy.prefab",".prefab","45a9074569986294db5487eac8a73a8c","Assets/Mushus/Candy/Models/Candy.fbx"
"Candy","Assets/Mushus/Candy/SampleScene.unity",".unity","0004ade5f8b63d04fb294af04304454f","Assets/Mushus/Candy/Prefabs/Candy.prefab"
"CandyDev","Assets/Mushus/CandyDev/Scenes/SampleScene.unity",".unity","2cd7c2d73a12a214b930125a1ca4ed33","<missing>"
"CandyDev","Assets/Mushus/CandyDev/Scenes/SampleScene.unity",".unity","0004ade5f8b63d04fb294af04304454f","Assets/Mushus/Candy/Prefabs/Candy.prefab"
"CandyDevFromDra_Backup_20260515003755","Assets/Mushus/CandyDevFromDra_Backup_20260515003755/Scenes/SampleScene 1.unity",".unity","51660c8650cf5bf4884434bcf71aad12","Assets/Mushus/CandyFromDra_Backup_20260515003755/dra.fbx"
"CandyDevFromDra_Backup_20260515003755","Assets/Mushus/CandyDevFromDra_Backup_20260515003755/Scenes/SampleScene 2.unity",".unity","51660c8650cf5bf4884434bcf71aad12","Assets/Mushus/CandyFromDra_Backup_20260515003755/dra.fbx"
"CandyDevFromDra_Backup_20260515003755","Assets/Mushus/CandyDevFromDra_Backup_20260515003755/Scenes/SampleScene 3.unity",".unity","51660c8650cf5bf4884434bcf71aad12","Assets/Mushus/CandyFromDra_Backup_20260515003755/dra.fbx"
