"Product","Status","Reason","Products2SrcFiles","Products2BoothFiles","Products2ZipFiles","BoothItemId","Products2Path","ExistingProductsPath","ExistingSrcFiles","ExistingBoothFiles","ExistingDistFiles","UnityPrefabFiles","UnitySceneFiles"
"Betty","Products2復元済み: BOOTH由来","BOOTH商品編集ページから作品ファイルと商品画像を取得。itemId=2078096","0","1","2","2078096","C:\Users\wyndf\Documents\unity\Avaters\Products2\Betty","C:\Users\wyndf\Documents\unity\Avaters\Products\Betty","6","0","1","1","0"
"CactusBunny","Products2復元済み: BOOTH由来","BOOTH商品編集ページから作品ファイルと商品画像を取得。itemId=2602439","0","1","2","2602439","C:\Users\wyndf\Documents\unity\Avaters\Products2\CactusBunny","C:\Users\wyndf\Documents\unity\Avaters\Products\CactusBunny","8","0","1","1","0"
"Calop","まだプロダクトとしてリリースしてない","既存Productsに一部データあり。ただしdist不足などで正式配布物か要確認。","0","0","0",,"","C:\Users\wyndf\Documents\unity\Avaters\Products\Calop","8","0","0","1","0"
"Candy","Products2復元済み","Products2に製品ディレクトリあり。","6","0","7","5818337","C:\Users\wyndf\Documents\unity\Avaters\Products2\Candy","C:\Users\wyndf\Documents\unity\Avaters\Products\Candy","0","0","0","1","1"
"Catchy","Products2復元済み","Products2に製品ディレクトリあり。","7","4","11","3704545","C:\Users\wyndf\Documents\unity\Avaters\Products2\Catchy","C:\Users\wyndf\Documents\unity\Avaters\Products\Catchy","7","4","0","2","0"
"CharaCreator","まだプロダクトとしてリリースしてない","既存Productsに一部データあり。ただしdist不足などで正式配布物か要確認。","0","0","0",,"","C:\Users\wyndf\Documents\unity\Avaters\Products\CharaCreator","11","18","0","0","0"
"CharaCreatorV0","まだプロダクトとしてリリースしてない","既存Productsに一部データあり。ただしdist不足などで正式配布物か要確認。","0","0","0",,"","C:\Users\wyndf\Documents\unity\Avaters\Products\CharaCreatorV0","11","18","0","0","0"
"CosmicDragon","まだプロダクトとしてリリースしてない","Unity側にPrefabはあるが、製品バックアップ側のsrc/booth/distが見つからない。","0","0","0",,"","","0","0","0","1","0"
"Cynthea","Products2復元済み: BOOTH由来","BOOTH商品編集ページから作品ファイルと商品画像を取得。itemId=2613249","0","1","2","2613249","C:\Users\wyndf\Documents\unity\Avaters\Products2\Cynthea","C:\Users\wyndf\Documents\unity\Avaters\Products\Cynthea","5","0","1","1","0"
"DragonCharaCreator","まだプロダクトとしてリリースしてない","既存Productsに一部データあり。ただしdist不足などで正式配布物か要確認。","0","0","0",,"","C:\Users\wyndf\Documents\unity\Avaters\Products\DragonCharaCreator","11","18","0","0","0"
"Iris","Products2復元済み","Products2に製品ディレクトリあり。","44","6","50","3736999","C:\Users\wyndf\Documents\unity\Avaters\Products2\Iris","C:\Users\wyndf\Documents\unity\Avaters\Products\Iris","44","6","0","1","0"
"Krona","未復元: 配布判定待ち","既存Productsに一部データあり。ただしdist不足などで正式配布物か要確認。","0","0","0","7461411","","C:\Users\wyndf\Documents\unity\Avaters\Products\Krona","6","2","0","1","0"
"Mizore","Products2復元済み","Products2に製品ディレクトリあり。","9","20","29","4777775","C:\Users\wyndf\Documents\unity\Avaters\Products2\Mizore","C:\Users\wyndf\Documents\unity\Avaters\Products\Mizore","10","20","0","1","0"
"Mocha","Products2復元済み","Products2に製品ディレクトリあり。","6","11","17","2612358","C:\Users\wyndf\Documents\unity\Avaters\Products2\Mocha","C:\Users\wyndf\Documents\unity\Avaters\Products\Mocha","6","11","0","1","0"
"NozakiNeneko","Products2復元済み","Products2に製品ディレクトリあり。","8","14","22","4633017","C:\Users\wyndf\Documents\unity\Avaters\Products2\NozakiNeneko","C:\Users\wyndf\Documents\unity\Avaters\Products\NozakiNeneko","8","14","0","1","0"
"Nyantan","未復元: 配布判定待ち","既存Productsに一部データあり。ただしdist不足などで正式配布物か要確認。","0","0","0","5204305","","C:\Users\wyndf\Documents\unity\Avaters\Products\Nyantan","9","28","0","2","0"
"Pumpkin","まだプロダクトとしてリリースしてない","既存Productsに一部データあり。ただしdist不足などで正式配布物か要確認。","0","0","0",,"","C:\Users\wyndf\Documents\unity\Avaters\Products\Pumpkin","6","0","0","1","0"
"RedDragon","Products2復元済み","Products2に製品ディレクトリあり。","4","4","8","3693688","C:\Users\wyndf\Documents\unity\Avaters\Products2\RedDragon","C:\Users\wyndf\Documents\unity\Avaters\Products\RedDragon","4","4","0","1","0"
"Reptan","Products2復元済み","Products2に製品ディレクトリあり。","25","11","36","4146843","C:\Users\wyndf\Documents\unity\Avaters\Products2\Reptan","C:\Users\wyndf\Documents\unity\Avaters\Products\Reptan","26","11","0","2","0"
"ReptanV0","バックアップ","Unity側フォルダはあるが、製品バックアップの根拠が薄い。","0","0","0",,"","","0","0","0","0","0"
"SexyDicon","Products2復元済み: BOOTH由来","BOOTH商品編集ページから作品ファイルと商品画像を取得。itemId=2604739","0","1","2","2604739","C:\Users\wyndf\Documents\unity\Avaters\Products2\SexyDicon","C:\Users\wyndf\Documents\unity\Avaters\Products\SexyDicon","6","0","1","1","0"
"Shiro","Products2復元済み: BOOTH由来","BOOTH商品編集ページから作品ファイルと商品画像を取得。itemId=2609767","0","1","2","2609767","C:\Users\wyndf\Documents\unity\Avaters\Products2\Shiro","C:\Users\wyndf\Documents\unity\Avaters\Products\Shiro","8","0","2","1","0"
"Shiromaru","Products2復元済み","Products2に製品ディレクトリあり。","5","16","21","4693863","C:\Users\wyndf\Documents\unity\Avaters\Products2\Shiromaru","C:\Users\wyndf\Documents\unity\Avaters\Products\Shiromaru","6","16","0","2","0"
"Soni","未復元: 配布判定待ち","既存Productsに一部データあり。ただしdist不足などで正式配布物か要確認。","0","0","0","7582725","","C:\Users\wyndf\Documents\unity\Avaters\Products\Soni","10","2","0","2","1"
"StylishDragon","未復元: Productsバックアップ不明","Unity側にPrefabはあるが、製品バックアップ側のsrc/booth/distが見つからない。","0","0","0",,"","","0","0","0","1","0"
"SweetsDragon","Products2復元済み: BOOTH由来","BOOTH商品編集ページから作品ファイルと商品画像を取得。itemId=2613338","0","1","3","2613338","C:\Users\wyndf\Documents\unity\Avaters\Products2\SweetsDragon","C:\Users\wyndf\Documents\unity\Avaters\Products\SweetsDragon","25","0","1","1","0"
"TreeDragon","Products2復元済み","Products2に製品ディレクトリあり。","5","0","6","7765783","C:\Users\wyndf\Documents\unity\Avaters\Products2\TreeDragon","C:\Users\wyndf\Documents\unity\Avaters\Products\TreeDragon","121","0","0","1","1"
"WhipLowPoly","Products2復元済み","Products2に製品ディレクトリあり。","4","4","8","3691363","C:\Users\wyndf\Documents\unity\Avaters\Products2\WhipLowPoly","C:\Users\wyndf\Documents\unity\Avaters\Products\WhipLowPoly","4","4","0","1","0"
"WhippedCream","Products2復元済み: BOOTH由来","BOOTH商品編集ページから作品ファイルと商品画像を取得。itemId=2606955","0","1","2","2606955","C:\Users\wyndf\Documents\unity\Avaters\Products2\WhippedCream","C:\Users\wyndf\Documents\unity\Avaters\Products\WhippedCream","15","0","1","1","0"
"Windra","Products2復元済み","Products2に製品ディレクトリあり。","3","4","7","3679724","C:\Users\wyndf\Documents\unity\Avaters\Products2\Windra","C:\Users\wyndf\Documents\unity\Avaters\Products\Windra","3","4","0","1","0"
"Yuki","まだプロダクトとしてリリースしてない","既存Productsに一部データあり。ただしdist不足などで正式配布物か要確認。","0","0","0",,"","C:\Users\wyndf\Documents\unity\Avaters\Products\Yuki","44","6","0","1","0"
