"Product","Kind","Source","Destination","Bytes","Copied","LfsPointer"
"Betty","full-package:vrc-avatar-betty.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\Betty_0d16a0de2fdc4f90ad631bc5ca6e13a0\vrc-avatar-betty\betty.blend","C:\Users\wyndf\Documents\unity\Avaters\Products\Betty\src\vrc-avatar-betty\betty.blend","716280","True","False"
"Betty","full-package:vrc-avatar-betty.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\Betty_0d16a0de2fdc4f90ad631bc5ca6e13a0\vrc-avatar-betty\betty.fbx","C:\Users\wyndf\Documents\unity\Avaters\Products\Betty\src\vrc-avatar-betty\betty.fbx","94412","True","False"
"Betty","full-package:vrc-avatar-betty.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\Betty_0d16a0de2fdc4f90ad631bc5ca6e13a0\vrc-avatar-betty\betty.unitypackage","C:\Users\wyndf\Documents\unity\Avaters\Products\Betty\src\vrc-avatar-betty\betty.unitypackage","106768","True","False"
"Betty","full-package:vrc-avatar-betty.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\Betty_0d16a0de2fdc4f90ad631bc5ca6e13a0\vrc-avatar-betty\README.txt","C:\Users\wyndf\Documents\unity\Avaters\Products\Betty\src\vrc-avatar-betty\README.txt","1200","True","False"
"Betty","full-package:vrc-avatar-betty.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\Betty_0d16a0de2fdc4f90ad631bc5ca6e13a0\vrc-avatar-betty\texture.clip","C:\Users\wyndf\Documents\unity\Avaters\Products\Betty\src\vrc-avatar-betty\texture.clip","283001","True","False"
"Betty","full-package:vrc-avatar-betty.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\Betty_0d16a0de2fdc4f90ad631bc5ca6e13a0\vrc-avatar-betty\texture.png","C:\Users\wyndf\Documents\unity\Avaters\Products\Betty\src\vrc-avatar-betty\texture.png","35983","True","False"
"Betty","full-package:vrc-avatar-betty.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\Betty_0d16a0de2fdc4f90ad631bc5ca6e13a0\vrc-avatar-betty\texture.psd","C:\Users\wyndf\Documents\unity\Avaters\Products\Betty\src\vrc-avatar-betty\texture.psd","205297","True","False"
"Betty","full-package:vrc-avatar-betty.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\Betty_0d16a0de2fdc4f90ad631bc5ca6e13a0\vrc-avatar-betty\_texture.png","C:\Users\wyndf\Documents\unity\Avaters\Products\Betty\src\vrc-avatar-betty\_texture.png","3969","True","False"
"CactusBunny","full-package:output.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\CactusBunny_6391413ca6884047ab2f5c38c32998cf\CactusBunny\Avater.unitypackage","C:\Users\wyndf\Documents\unity\Avaters\Products\CactusBunny\src\CactusBunny\Avater.unitypackage","10311680","True","False"
"CactusBunny","full-package:output.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\CactusBunny_6391413ca6884047ab2f5c38c32998cf\CactusBunny\BaseColor.kra","C:\Users\wyndf\Documents\unity\Avaters\Products\CactusBunny\src\CactusBunny\BaseColor.kra","20609917","True","False"
"CactusBunny","full-package:output.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\CactusBunny_6391413ca6884047ab2f5c38c32998cf\CactusBunny\BaseColor.png","C:\Users\wyndf\Documents\unity\Avaters\Products\CactusBunny\src\CactusBunny\BaseColor.png","6379865","True","False"
"CactusBunny","full-package:output.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\CactusBunny_6391413ca6884047ab2f5c38c32998cf\CactusBunny\BaseColor.psd","C:\Users\wyndf\Documents\unity\Avaters\Products\CactusBunny\src\CactusBunny\BaseColor.psd","42947229","True","False"
"CactusBunny","full-package:output.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\CactusBunny_6391413ca6884047ab2f5c38c32998cf\CactusBunny\CactusBunny.blend","C:\Users\wyndf\Documents\unity\Avaters\Products\CactusBunny\src\CactusBunny\CactusBunny.blend","993876","True","False"
"CactusBunny","full-package:output.zip","C:\Users\wyndf\AppData\Local\Temp\products_fullpkg_restore_565613d3c47941eea8291ea8764be120\CactusBunny_6391413ca6884047ab2f5c38c32998cf\CactusBunny\CactusBunny.fbx","C:\Users\wyndf\Documents\unity\Avaters\Products\CactusBunny\src\CactusBunny\CactusBunny.fbx","921468","True","False"
