"Product","SrcFiles","SrcBytes","BoothFiles","RootZips"
"Betty","8","1446910","1","1"
"CactusBunny","11","130031417","1","1"
"Candy","8","80736427","0","1"
"Catchy","7","1624864","4","0"
"Cynthea","8","96588132","1","1"
"Iris","44","22592299","6","0"
"Krona","0","0","0","0"
"Mizore","0","0","0","0"
"Mocha","0","0","0","0"
"NozakiNeneko","0","0","0","0"
"Nyantan","0","0","0","0"
"Reptan","0","0","0","0"
"Shiro","0","0","0","0"
"Soni","0","0","0","0"
"SweetsDragon","0","0","0","0"
"TreeDragon","0","0","0","0"
"WhipLowPoly","0","0","0","0"
"WhippedCream","0","0","0","0"
"Windra","0","0","0","0"
