Assets/Mushus/CactusBunny/Prefabs/CactusBunny.prefab | ID: avtr_52f55843-bc6b-4560-a75d-6a36db77920b | Root: CactusBunny | isWrapper: False
Assets/Mushus/Calop/Prefabs/Calop.prefab | ID: avtr_636ca164-e624-485e-ab10-ac45118497be | Root: Calop | isWrapper: False
Assets/Mushus/Candy/Prefabs/Candy.prefab | ID: avtr_08093af4-b37f-4746-8e7f-747f01829b5e | Root: Candy | isWrapper: False
Assets/Mushus/Catchy/Prefabs/AvaterPrefab.prefab | ID: avtr_3ddad029-4143-4326-b47a-659c3bc6c22d | Root: AvaterPrefab | isWrapper: True
Assets/Mushus/Catchy/Prefabs/AvaterQuestPrefab.prefab | ID: avtr_3ddad029-4143-4326-b47a-659c3bc6c22d | Root: AvaterQuestPrefab | isWrapper: True
Assets/Mushus/Iris/Prefabs/AvaterPrefab.prefab | ID: avtr_7d932ab2-ae12-4c9c-8e7e-80fe22b2e4ab | Root: AvaterPrefab | isWrapper: True
Assets/Mushus/Mizore/Prefabs/ToraAvater.prefab | ID: avtr_11a5f84e-29ed-408e-9499-739c743df8a5 | Root: ToraAvater | isWrapper: False
Assets/Mushus/Mocha/Prefabs/Mocha.prefab | ID: avtr_90b96b4b-1b7e-4029-863c-e0a9b2d7b538 | Root: Mocha | isWrapper: False
Assets/Mushus/NozakiNeneko/Prefabs/NekoAvater.prefab | ID: avtr_b3332784-5782-4ec5-b30c-aa8c83dd89a7 | Root: NekoAvater | isWrapper: False
Assets/Mushus/Nyantan/Prefabs/JackONyantanPumpkin.prefab | ID: avtr_62bf290a-30f8-4526-80b1-f544d8145890 | Root: JackONyantanPumpkin | isWrapper: False
Assets/Mushus/RedDragon/Prefabs/RedDragonLowPolyAvatar.prefab | ID: avtr_95bde2d7-871c-4357-95c7-c9e65c9cb1ff | Root: RedDragonLowPolyAvatar | isWrapper: False
Assets/Mushus/Reptan/Prefabs/OrcaQuestVariant.prefab | ID: avtr_413a4117-dc69-49b4-b52c-6b7e79e76048 | Root: OrcaQuestVariant | isWrapper: False
Assets/Mushus/Reptan/Prefabs/OrcaVariant.prefab | ID: avtr_2ad842dd-a047-42dc-85c1-8fd0a43185ec | Root: OrcaVariant | isWrapper: False
Assets/Mushus/SexyDicon/Prefabs/SexyDicon.prefab | ID: avtr_ab769a2d-0570-495c-8618-2ccfde6a73af | Root: SexyDicon | isWrapper: False
Assets/Mushus/Shiromaru/Prefabs/ShiromaruAvater.prefab | ID: avtr_abe46bf1-2ad5-4864-a921-c4a3c54b6c86 | Root: ShiromaruAvater | isWrapper: False
Assets/Mushus/Shiromaru/Prefabs/ShiromaruQuest.prefab | ID: avtr_abe46bf1-2ad5-4864-a921-c4a3c54b6c86 | Root: ShiromaruQuest | isWrapper: False
Assets/Mushus/WhipLowPoly/Prefabs/AvaterPrefab.prefab | ID: avtr_b8b17228-7593-4d10-b311-ba9d1dc8dfb5 | Root: AvaterPrefab | isWrapper: True
Assets/Mushus/WhippedCream/Prefabs/WhippedCream.prefab | ID: avtr_e45d375e-0b7d-4441-bd87-ecd966686334 | Root: WhippedCream | isWrapper: False
Assets/Mushus/Yuki/Prefabs/Yuki.prefab | ID: avtr_dda48fa2-bd95-451e-9ce2-be3bd09ad133 | Root: Yuki | isWrapper: False
